productId,sku,slug,title,description,price,compareAtPrice,image,imageAlt,category,subcategory,unit,stock,availability,featured,active,tags,variantId,variantLabel,variantImage,externalUrl,variableWeight,gallery
prod-014,FRU-014,oranges,Oranges,Peel one for a break between the busy bits.,350,,/images/products/oranges.webp,Oranges,fruit,citrus,1 kg,,available,false,true,fruit|citrus,,,,,true,
prod-015,VEG-015,green-peppers,Green peppers,Dice for a stir-fry or roast in generous wedges.,180,,/images/products/green-bell-pepper.webp,Green peppers,vegetables,everyday-vegetables,500 g,,available,false,true,vegetables|everyday-vegetables,,,,,true,
prod-016,VEG-016,green-chillies,Green chillies,A little goes a long way in your next pot of something good.,80,,/images/products/green-chili-pepper.webp,Green chillies,vegetables,greens-herbs,100 g,,available,false,true,vegetables|greens-herbs,,,,,false,
prod-017,VEG-017,everyday-potatoes,Everyday potatoes,"Mash, roast, or tuck into a curry. Your call.",180,,/images/products/potatoes.webp,Everyday potatoes,vegetables,everyday-vegetables,1 kg,,available,false,true,vegetables|everyday-vegetables,prod-017-standard,1 kg,,,true,
prod-017,VEG-017-L,everyday-potatoes,Everyday potatoes,"Mash, roast, or tuck into a curry. Your call.",360,,/images/products/potatoes.webp,Everyday potatoes,vegetables,everyday-vegetables,2 kg,,available,false,true,vegetables|everyday-vegetables,prod-017-large,2 kg,,,true,
prod-018,VEG-018,red-onions,Red onions,"For the pan, the salad, and just about everything else.",150,,/images/products/red-onions.webp,Red onions,vegetables,everyday-vegetables,1 kg,,available,false,true,vegetables|everyday-vegetables,prod-018-standard,1 kg,,,true,
prod-018,VEG-018-L,red-onions,Red onions,"For the pan, the salad, and just about everything else.",300,,/images/products/red-onions.webp,Red onions,vegetables,everyday-vegetables,2 kg,,available,false,true,vegetables|everyday-vegetables,prod-018-large,2 kg,,,true,
prod-019,VEG-019,baby-spinach,Baby spinach,"A handful for your omelette, pasta, or lunchtime salad.",140,,,Baby spinach,vegetables,greens-herbs,200 g,,available,false,true,vegetables|greens-herbs,,,,,false,
prod-020,DAI-020,plain-yogurt,Plain yogurt,Spoon over breakfast or stir into a quick dressing.,240,,,Plain yogurt,dairy-eggs,cheese-yogurt,400 g,,available,false,true,dairy-eggs|cheese-yogurt,,,,,false,
prod-021,DAI-021,cheddar-cheese,Cheddar cheese,"For sandwiches, toasties, and a little grating over dinner.",550,,,Cheddar cheese,dairy-eggs,cheese-yogurt,200 g,,available,false,true,dairy-eggs|cheese-yogurt,,,,,false,
prod-022,DAI-022,salted-butter,Salted butter,Keep a little ready for toast and the baking tin.,520,,,Salted butter,dairy-eggs,cheese-yogurt,200 g,,available,false,true,dairy-eggs|cheese-yogurt,,,,,false,
prod-023,BAK-023,butter-croissant,Butter croissant,"A quiet moment with coffee, preferably somewhere sunny.",280,,/images/products/croissant.webp,Butter croissant,bakery,pastries,1 piece,,available,false,true,bakery|pastries,,,,,false,
prod-024,BAK-024,sandwich-bread,Sandwich bread,For lunchboxes and easy late-night toast.,260,,,Sandwich bread,bakery,bread,1 loaf,,available,false,true,bakery|bread,,,,,false,
prod-025,BAK-025,plain-wraps,Plain wraps,Wrap around yesterday’s leftovers or today’s big idea.,300,,,Plain wraps,bakery,wraps,6 pieces,,available,false,true,bakery|wraps,,,,,false,
prod-026,BAK-026,dinner-rolls,Dinner rolls,Pass them around with soup or the Sunday meal.,240,,,Dinner rolls,bakery,pastries,6 pieces,,available,false,true,bakery|pastries,,,,,false,
prod-027,PAN-027,everyday-rice,Everyday rice,A dependable starting point for dinner.,420,,/images/products/rice.webp,Everyday rice,pantry,rice-grains,1 kg,,available,false,true,pantry|rice-grains,prod-027-standard,1 kg,,,false,
prod-027,PAN-027-L,everyday-rice,Everyday rice,A dependable starting point for dinner.,840,,/images/products/rice.webp,Everyday rice,pantry,rice-grains,2 kg,,available,false,true,pantry|rice-grains,prod-027-large,2 kg,,,false,
prod-028,PAN-028,cooking-oil,Cooking oil,For the everyday cooking that keeps the kitchen going.,580,,/images/products/cooking-oil.webp,Cooking oil,pantry,oils-spices,1 litre,,available,false,true,pantry|oils-spices,,,,,false,
prod-029,PAN-029,honey,Honey,"A spoonful for porridge, toast, or a simple dressing.",680,,/images/products/honey-jar.webp,Honey,pantry,oils-spices,250 g,,available,false,true,pantry|oils-spices,,,,,false,
prod-030,PAN-030,red-lentils,Red lentils,Make a pot of daal and save some for tomorrow.,320,,,Red lentils,pantry,pulses,500 g,,available,false,true,pantry|pulses,,,,,false,
prod-031,PAN-031,chickpeas,Chickpeas,"For a weekend pot, a crunchy roast, or a bowl of hummus.",300,,,Chickpeas,pantry,pulses,500 g,,available,false,true,pantry|pulses,,,,,false,
prod-032,PAN-032,plain-flour,Plain flour,For the next batch of something homemade.,200,,,Plain flour,pantry,rice-grains,1 kg,,available,false,true,pantry|rice-grains,,,,,false,
prod-033,DRI-033,orange-juice,Orange juice,A glass alongside breakfast or a splash over ice.,320,,/images/products/juice.webp,Orange juice,drinks,juice-water,1 litre,,available,false,true,drinks|juice-water,,,,,false,
prod-034,DRI-034,drinking-water,Drinking water,A useful extra for the fridge or your day out.,90,,/images/products/water.webp,Drinking water,drinks,juice-water,1.5 litres,,available,false,true,drinks|juice-water,,,,,false,
prod-035,DRI-035,everyday-black-tea,Everyday black tea,Put the kettle on. There is always time for a cup.,520,,/images/products/tea.webp,Everyday black tea,drinks,tea-coffee,200 g,,available,false,true,drinks|tea-coffee,,,,,false,
prod-036,DRI-036,ground-coffee,Ground coffee,For the mornings that call for a little ritual.,890,,,Ground coffee,drinks,tea-coffee,200 g,,available,false,true,drinks|tea-coffee,,,,,false,
prod-037,SNA-037,mixed-nuts,Mixed nuts,Keep a bowl nearby for the afternoon pause.,650,,/images/products/nuts.webp,Mixed nuts,snacks,nuts,250 g,,available,false,true,snacks|nuts,,,,,false,
prod-038,SNA-038,oat-biscuits,Oat biscuits,Made for the side of your cup.,230,,,Oat biscuits,snacks,biscuits,200 g,,available,false,true,snacks|biscuits,,,,,false,
prod-039,SNA-039,salted-crackers,Salted crackers,Set out with cheese or a spoonful of your favourite dip.,180,,,Salted crackers,snacks,savory,150 g,,available,false,true,snacks|savory,,,,,false,
prod-040,SNA-040,raisins,Raisins,Stir into porridge or tuck a handful into a lunchbox.,300,,,Raisins,snacks,nuts,250 g,,available,false,true,snacks|nuts,,,,,false,
prod-041,FRO-041,ice-cream,Ice cream,"A bowl, a spoon, and a moment to yourself.",620,,/images/products/ice-cream.webp,Ice cream,frozen,desserts,500 ml,,available,false,true,frozen|desserts,,,,,false,
prod-042,FRO-042,frozen-peas,Frozen peas,"A useful standby for rice, pasta, and quick dinners.",280,,,Frozen peas,frozen,frozen-vegetables,500 g,,available,false,true,frozen|frozen-vegetables,,,,,false,
prod-043,FRO-043,frozen-mixed-vegetables,Frozen mixed vegetables,A little help when the vegetable drawer is looking quiet.,320,,,Frozen mixed vegetables,frozen,frozen-vegetables,500 g,,available,false,true,frozen|frozen-vegetables,,,,,false,
prod-044,FRO-044,frozen-parathas,Frozen parathas,For an easy breakfast or something to scoop up dinner.,450,,,Frozen parathas,frozen,frozen-prepared,5 pieces,,available,false,true,frozen|frozen-prepared,,,,,false,
prod-045,HOU-045,facial-tissues,Facial tissues,A small essential to keep within reach.,180,,/images/products/tissue-paper-box.webp,Facial tissues,household,kitchen,1 box,,available,false,true,household|kitchen,,,,,false,
prod-046,HOU-046,kitchen-paper,Kitchen paper,"For spills, splashes, and the daily kitchen reset.",280,,,Kitchen paper,household,kitchen,2 rolls,,available,false,true,household|kitchen,,,,,false,
prod-047,HOU-047,dishwashing-liquid,Dishwashing liquid,For the dishes after the good part.,260,,,Dishwashing liquid,household,cleaning,500 ml,,available,false,true,household|cleaning,,,,,false,
prod-048,HOU-048,kitchen-sponges,Kitchen sponges,A little restock for the sink-side essentials.,160,,,Kitchen sponges,household,cleaning,3 pieces,,available,false,true,household|cleaning,,,,,false,
